ZIP,form,time_min,time_max,LAT,LNG,year,month,time_mean
00802,N-400,9.3,18.1,18.340862,-64.923479,2017,1,13.700000000000001
00802,I-485,9.8,20.4,18.340862,-64.923479,2017,1,15.1
00820,N-400,9.3,18.1,17.743072,-64.68657,2017,1,13.700000000000001
00820,I-485,9.8,20.4,17.743072,-64.68657,2017,1,15.1
00917,N-400,9.3,18.1,18.420674000000002,-66.050105,2017,1,13.700000000000001
00917,I-485,9.8,20.4,18.420674000000002,-66.050105,2017,1,15.1
00917,N-600,17.7,22.8,18.420674000000002,-66.050105,2017,1,20.25
01840,N-600,7,9.3,42.706763,-71.160403,2017,1,8.15
01840,N-400,6,14.9,42.706763,-71.160403,2017,1,10.45
01840,I-485,7.4,17.2,42.706763,-71.160403,2017,1,12.3
02203,N-600,9.3,12.1,42.360598,-71.058775,2017,1,10.7
02203,N-400,6,17.7,42.360598,-71.058775,2017,1,11.85
02203,I-485,8.4,19.5,42.360598,-71.058775,2017,1,13.95
02919,N-400,9.3,18.1,41.82744,-71.519879,2017,1,13.700000000000001
02919,I-485,9.8,20.4,41.82744,-71.519879,2017,1,15.1
02919,N-600,5.6,7.4,41.82744,-71.519879,2017,1,6.5
03110,I-485,9.8,20.4,42.935584,-71.536871,2017,1,15.1
03110,N-400,9.3,18.1,42.935584,-71.536871,2017,1,13.700000000000001
04106,N-400,9.3,18.1,43.631402,-70.285989,2017,1,13.700000000000001
04106,I-485,9.8,20.4,43.631402,-70.285989,2017,1,15.1
04106,N-600,4.6,6.5,43.631402,-70.285989,2017,1,5.55
05478,I-485,9.8,20.4,44.808422,-73.082507,2017,1,15.1
05478,N-400,9.3,18.1,44.808422,-73.082507,2017,1,13.700000000000001
05478,N-600,4.2,6.5,44.808422,-73.082507,2017,1,5.35
06103,N-400,8.8,16.7,41.767208,-72.674257,2017,1,12.75
06103,I-485,9.8,20.4,41.767208,-72.674257,2017,1,15.1
06103,N-400,9.3,18.1,41.767208,-72.674257,2017,1,13.700000000000001
06103,N-600,3.7,6.5,41.767208,-72.674257,2017,1,5.1
06103,N-600,6,7.9,41.767208,-72.674257,2017,1,6.95
06103,I-485,9.8,20.4,41.767208,-72.674257,2017,1,15.1
07102,N-400,7.9,15.8,40.735659,-74.173605,2017,1,11.850000000000001
07102,I-485,9.8,20,40.735659,-74.173605,2017,1,14.9
07102,N-600,5.6,7.4,40.735659,-74.173605,2017,1,6.5
08054,N-600,5.1,7,39.948992,-74.900247,2017,1,6.05
08054,I-485,8.8,15.8,39.948992,-74.900247,2017,1,12.3
08054,N-400,6.5,16.7,39.948992,-74.900247,2017,1,11.6
10278,N-400,11.2,22.8,40.715182,-74.003778,2017,1,17
10278,I-485,17.7,26.9,40.715182,-74.003778,2017,1,22.299999999999997
10278,N-600,15.8,20.4,40.715182,-74.003778,2017,1,18.1
11101,N-600,16.7,21.4,40.747155,-73.93975,2017,1,19.049999999999997
11101,I-485,9.3,27.9,40.747155,-73.93975,2017,1,18.6
11101,N-400,7,11.2,40.747155,-73.93975,2017,1,9.1
11219,I-485,18.1,33.9,40.632667,-73.996669,2017,1,26
11219,N-400,13.9,17.7,40.632667,-73.996669,2017,1,15.8
11432,N-600,14.4,18.6,40.715359,-73.793071,2017,1,16.5
11432,I-485,11.6,22.8,40.715359,-73.793071,2017,1,17.2
11432,N-400,9.8,20.4,40.715359,-73.793071,2017,1,15.1
12110,N-600,8.8,11.6,42.750578,-73.776118,2017,1,10.2
12110,N-400,9.3,18.1,42.750578,-73.776118,2017,1,13.700000000000001
12110,I-485,9.8,20.4,42.750578,-73.776118,2017,1,15.1
14202,I-485,9.8,20.4,42.881489,-78.877477,2017,1,15.1
14202,N-600,3.7,6.5,42.881489,-78.877477,2017,1,5.1
14202,N-400,6,13,42.881489,-78.877477,2017,1,9.5
15235,N-400,5.1,14.9,40.459801,-79.82242,2017,1,10
15235,I-485,9.8,20.4,40.459801,-79.82242,2017,1,15.1
15235,N-600,5.6,7.4,40.459801,-79.82242,2017,1,6.5
19104,N-400,8.8,18.6,39.95852,-75.198857,2017,1,13.700000000000001
19104,N-600,7.9,10.2,39.95852,-75.198857,2017,1,9.05
19104,I-485,12.5,20.4,39.95852,-75.198857,2017,1,16.45
21227,I-485,9.3,21.8,39.23997,-76.67945,2017,1,15.55
21227,N-400,11.6,18.6,39.23997,-76.67945,2017,1,15.100000000000001
21227,N-600,13.9,17.7,39.23997,-76.67945,2017,1,15.8
22202,I-130,7.4,9.8,38.856868,-77.051492,2017,1,8.600000000000001
22202,I-129F,9.8,13,38.856868,-77.051492,2017,1,11.4
22202,I-765,3.3,5.1,38.856868,-77.051492,2017,1,4.199999999999999
22202,I-765,3.3,5.1,38.856868,-77.051492,2017,1,4.199999999999999
22202,I-765,3.3,5.1,38.856868,-77.051492,2017,1,4.199999999999999
22202,I-90,1.9,12.1,38.856868,-77.051492,2017,1,7
23502,N-600,10.7,13.5,36.860941,-76.204908,2017,1,12.1
23502,N-400,7.9,18.1,36.860941,-76.204908,2017,1,13
23502,I-485,9.8,20.4,36.860941,-76.204908,2017,1,15.1
27703,N-400,3.7,7.4,35.959253,-78.806827,2017,1,5.550000000000001
27703,N-600,3.7,6.5,35.959253,-78.806827,2017,1,5.1
27703,I-485,6,13.5,35.959253,-78.806827,2017,1,9.75
28217,I-485,9.8,20.4,35.168896,-80.908285,2017,1,15.1
28217,N-400,8.8,12.1,35.168896,-80.908285,2017,1,10.45
28217,N-600,12.5,16.3,35.168896,-80.908285,2017,1,14.4
29407,N-600,2.8,6.5,32.79893,-79.997803,2017,1,4.65
29407,I-485,7.4,24.2,32.79893,-79.997803,2017,1,15.8
29407,N-400,3.7,12.5,32.79893,-79.997803,2017,1,8.1
29650,N-400,9.3,18.1,34.898138,-82.258067,2017,1,13.700000000000001
